2020-08-06 22:40:54 status half-installed e2fsprogs:armhf 1.44.1-1
2020-08-06 22:40:54 status unpacked e2fsprogs:armhf 1.44.1-1
2020-08-06 22:40:54 status unpacked e2fsprogs:armhf 1.44.1-1
2020-08-06 22:40:54 install fdisk:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:40:54 status half-installed fdisk:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:40:54 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:40:54 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:40:54 install findutils:armhf <none> 4.6.0+git+20170828-2
2020-08-06 22:40:54 status half-installed findutils:armhf 4.6.0+git+20170828-2
2020-08-06 22:40:54 status unpacked findutils:armhf 4.6.0+git+20170828-2
2020-08-06 22:40:54 status unpacked findutils:armhf 4.6.0+git+20170828-2
2020-08-06 22:40:55 install gcc-8-base:armhf <none> 8-20180414-1ubuntu2
2020-08-06 22:40:55 status half-installed gcc-8-base:armhf 8-20180414-1ubuntu2
2020-08-06 22:40:55 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2020-08-06 22:40:55 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2020-08-06 22:40:55 install grep:armhf <none> 3.1-2
2020-08-06 22:40:55 status half-installed grep:armhf 3.1-2
2020-08-06 22:40:55 status unpacked grep:armhf 3.1-2
2020-08-06 22:40:55 status unpacked grep:armhf 3.1-2
2020-08-06 22:40:55 install gzip:armhf <none> 1.6-5ubuntu1
2020-08-06 22:40:55 status half-installed gzip:armhf 1.6-5ubuntu1
2020-08-06 22:40:55 status unpacked gzip:armhf 1.6-5ubuntu1
2020-08-06 22:40:55 status unpacked gzip:armhf 1.6-5ubuntu1
2020-08-06 22:40:55 install hostname:armhf <none> 3.20
2020-08-06 22:40:55 status half-installed hostname:armhf 3.20
2020-08-06 22:40:55 status unpacked hostname:armhf 3.20
2020-08-06 22:40:55 status unpacked hostname:armhf 3.20
2020-08-06 22:40:55 install init-system-helpers:all <none> 1.51
2020-08-06 22:40:55 status half-installed init-system-helpers:all 1.51
2020-08-06 22:40:55 status unpacked init-system-helpers:all 1.51
2020-08-06 22:40:55 status unpacked init-system-helpers:all 1.51
2020-08-06 22:40:55 install libacl1:armhf <none> 2.2.52-3build1
2020-08-06 22:40:55 status half-installed libacl1:armhf 2.2.52-3build1
2020-08-06 22:40:56 status unpacked libacl1:armhf 2.2.52-3build1
2020-08-06 22:40:56 status unpacked libacl1:armhf 2.2.52-3build1
2020-08-06 22:40:56 install libattr1:armhf <none> 1:2.4.47-2build1
2020-08-06 22:40:56 status half-installed libattr1:armhf 1:2.4.47-2build1
2020-08-06 22:40:56 status unpacked libattr1:armhf 1:2.4.47-2build1
2020-08-06 22:40:56 status unpacked libattr1:armhf 1:2.4.47-2build1
2020-08-06 22:40:56 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 install libaudit1:armhf <none> 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 status half-installed libaudit1:armhf 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2020-08-06 22:40:56 install libblkid1:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:40:56 status half-installed libblkid1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:40:56 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:40:56 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
